PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint,MatchedJars_FromLib,PackageRoots_FromLib,RegexPattern_JarBackup
200,Set 3 - Third Party,THRID-PARTY,aacm.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])aacm([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\baacm(?:-[\w\.-]+)?\.jar\b
201,Set 3 - Third Party,THRID-PARTY,avalon-framework-cvs-20020806.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])avalon\-framework([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bavalon\-framework\-cvs[-_](?:[\w\.-]+)?\.jar\b
202,Set 3 - Third Party,THRID-PARTY,backport-util-concurrent.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])backport\-util\-concurrent([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bbackport\-util\-concurrent(?:-[\w\.-]+)?\.jar\b
203,Set 3 - Third Party,THRID-PARTY,batik.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])batik([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM,,,"(?:\bbatik(?:-[\w\.-]+)?\.jar\b)|(?i)(?:<\s*groupId\s*>\s*org\.apache\.xmlgraphics\s*<\s*/\s*groupId\s*>[\s\S]{0,300}?<\s*artifactId\s*>\s*batik\s*<\s*/\s*artifactId\s*>|<\s*artifactId\s*>\s*batik\s*<\s*/\s*artifactId\s*>|\borg\.apache\.xmlgraphics\s*:\s*batik\b|\bbatik\b)"
204,Set 3 - Third Party,THRID-PARTY,bcpkix-jdk18on-1.76.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])bcpkix\-jdk18on([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto,,,\bbcpkix\-jdk18on[-_](?:[\w\.-]+)?\.jar\b
205,Set 3 - Third Party,THRID-PARTY,bcprov-jdk14-143.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])bcprov\-jdk14([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto,,,\bbcprov\-jdk14[-_](?:[\w\.-]+)?\.jar\b
206,Set 3 - Third Party,THRID-PARTY,bsh-2.0b2.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])bsh([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bbsh[-_](?:[\w\.-]+)?\.jar\b
207,Set 3 - Third Party,THRID-PARTY,castor-0.9.9.1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])castor([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcastor[-_](?:[\w\.-]+)?\.jar\b
208,Set 3 - Third Party,THRID-PARTY,cglib-full-2.0.2.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])cglib\-full([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcglib\-full[-_](?:[\w\.-]+)?\.jar\b
209,Set 3 - Third Party,THRID-PARTY,classes12.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])classes12([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),High,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-JDBC-Upgrade,,,\bojdbc(?:[\.-]?\d[\w\.-]*)?\.jar\b|\bclasses12\.jar\b
210,Set 3 - Third Party,THRID-PARTY,com.ibm.mq.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])com\.ibm\.mq([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcom\.ibm\.mq(?:-[\w\.-]+)?\.jar\b
211,Set 3 - Third Party,THRID-PARTY,com.ibm.mqbind.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])com\.ibm\.mqbind([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcom\.ibm\.mqbind(?:-[\w\.-]+)?\.jar\b
212,Set 3 - Third Party,THRID-PARTY,com.ibm.mqjms.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])com\.ibm\.mqjms([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcom\.ibm\.mqjms(?:-[\w\.-]+)?\.jar\b
213,Set 3 - Third Party,THRID-PARTY,commons-beanutils.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-beanutils([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM,,,"(?:\bcommons\-beanutils(?:-[\w\.-]+)?\.jar\b)|(?i)(?:<\s*groupId\s*>\s*commons\-beanutils\s*<\s*/\s*groupId\s*>[\s\S]{0,300}?<\s*artifactId\s*>\s*commons\-beanutils\s*<\s*/\s*artifactId\s*>|<\s*artifactId\s*>\s*commons\-beanutils\s*<\s*/\s*artifactId\s*>|\bcommons\-beanutils\s*:\s*commons\-beanutils\b|\bcommons\-beanutils\b)"
214,Set 3 - Third Party,THRID-PARTY,commons-betwixt-1.0-alpha-1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-betwixt([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Replace-PreRelease,,,\bcommons\-betwixt[-_](?:[\w\.-]+)?\.jar\b
215,Set 3 - Third Party,THRID-PARTY,commons-codec-1.3.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-codec([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-codec[-_](?:[\w\.-]+)?\.jar\b
216,Set 3 - Third Party,THRID-PARTY,commons-collections-3.2.2.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-collections([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-collections[-_](?:[\w\.-]+)?\.jar\b
217,Set 3 - Third Party,THRID-PARTY,commons-dbcp-1.2.1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-dbcp([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-dbcp[-_](?:[\w\.-]+)?\.jar\b
218,Set 3 - Third Party,THRID-PARTY,commons-dbutils-1.0.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-dbutils([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-dbutils[-_](?:[\w\.-]+)?\.jar\b
219,Set 3 - Third Party,THRID-PARTY,commons-digester.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-digester([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-digester(?:-[\w\.-]+)?\.jar\b
220,Set 3 - Third Party,THRID-PARTY,commons-fileupload.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-fileupload([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-fileupload(?:-[\w\.-]+)?\.jar\b
221,Set 3 - Third Party,THRID-PARTY,commons-httpclient-3.0-beta1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-httpclient([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,HTTP Client Migration,Dual-runtime: migrate from HttpClient 3.x APIs to HttpClient 4.5.x/5.x (Java 8+); refactor code; test on both runtimes.,Refactor,Replace API usages; verify timeouts/pooling/TLS.,Medium,1.5,Yes,Yes,Requires Migration,No,No,Dual-HttpClient-Refactor,,,\bcommons\-httpclient[-_](?:[\w\.-]+)?\.jar\b
222,Set 3 - Third Party,THRID-PARTY,commons-lang-2.0.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-lang([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-lang[-_](?:[\w\.-]+)?\.jar\b
223,Set 3 - Third Party,THRID-PARTY,commons-logging.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-logging([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-logging(?:-[\w\.-]+)?\.jar\b
224,Set 3 - Third Party,THRID-PARTY,commons-mail-alpha.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-mail([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Pre-Release/Alpha,Dual-runtime: replace alpha/beta/snapshot libraries with stable maintained releases that support Java 8; validate on JDK 21.,Replace,Upgrade to stable release; verify runtime and security.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Replace-PreRelease,,,\bcommons\-mail\-alpha(?:-[\w\.-]+)?\.jar\b
225,Set 3 - Third Party,THRID-PARTY,commons-net-1.1.0.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-net([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-net[-_](?:[\w\.-]+)?\.jar\b
226,Set 3 - Third Party,THRID-PARTY,commons-pool-1.2.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-pool([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-pool[-_](?:[\w\.-]+)?\.jar\b
227,Set 3 - Third Party,THRID-PARTY,commons-validator.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])commons\-validator([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcommons\-validator(?:-[\w\.-]+)?\.jar\b
228,Set 3 - Third Party,THRID-PARTY,concurrent.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])concurrent([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bconcurrent(?:-[\w\.-]+)?\.jar\b
229,Set 3 - Third Party,THRID-PARTY,core-3.4.1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])core([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcore[-_](?:[\w\.-]+)?\.jar\b
230,Set 3 - Third Party,THRID-PARTY,cos.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])cos([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bcos(?:-[\w\.-]+)?\.jar\b
231,Set 3 - Third Party,THRID-PARTY,dhbcore.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])dhbcore([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bdhbcore(?:-[\w\.-]+)?\.jar\b
232,Set 3 - Third Party,THRID-PARTY,dom4j-1.5-rc1.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])dom4j([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review,,,\bdom4j[-_](?:[\w\.-]+)?\.jar\b
233,Set 3 - Third Party,THRID-PARTY,eddsa-0.3.0.jar,Third-party library present in application lib folder (exploded project).,(?i)(^|[^A-Za-z0-9_.-])eddsa([-_][A-Za-z0-9_.-]+)?\.jar([^A-Za-z0-9_.-]|$),Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1.0,Yes,Yes,Safe,Yes,No,Dual-Crypto,,,\beddsa[-_](?:[\w\.-]+)?\.jar\b
